Description,Price,Rating,ReviewCount,Url
Shopping List,₹599,N/A,0,http://www.flipkart.com/shopping-list/p/itmfb9hbu2hghhwf?pid=9780998636955&lid=LSTBOK97809986369559GWTZH&marketplace=FLIPKART&q=Shopping+_+List&store=bks&srno=s_1_1&otracker=search&otracker1=search&fm=organic&iid=1e2cd5de-7773-4b0d-a8ad-75b49157970d.9780998636955.SEARCH&ppt=None&ppn=None&ssid=fj94t169y80000001654450598444&qH=1ac6b4484a753a9f
Shopping List,₹680,N/A,0,http://www.flipkart.com/shopping-list/p/itmfcynyyfwapadd?pid=9781787009899&lid=LSTBOK9781787009899RWI6BV&marketplace=FLIPKART&q=Shopping+_+List&store=bks&srno=s_1_2&otracker=search&otracker1=search&fm=organic&iid=1e2cd5de-7773-4b0d-a8ad-75b49157970d.9781787009899.SEARCH&ppt=None&ppn=None&ssid=fj94t169y80000001654450598444&qH=1ac6b4484a753a9f
Shopping List,"₹1,163",N/A,0,http://www.flipkart.com/shopping-list/p/itmf4t4hjfjkfh9t?pid=9781364907143&lid=LSTBOK9781364907143TXSNSP&marketplace=FLIPKART&q=Shopping+_+List&store=bks&srno=s_1_3&otracker=search&otracker1=search&fm=organic&iid=1e2cd5de-7773-4b0d-a8ad-75b49157970d.9781364907143.SEARCH&ppt=None&ppn=None&ssid=fj94t169y80000001654450598444&qH=1ac6b4484a753a9f
Shopping List - Blank Notebook - Write It Down - Pastel...,"₹1,515",N/A,0,http://www.flipkart.com/shopping-list-blank-notebook-write-down-pastel-rose-gold-pink-abstract-modern-contemporary-unique-design-art/p/itm23d28f9cc0a42?pid=9781034271499&lid=LSTBOK9781034271499JS5JS9&marketplace=FLIPKART&q=Shopping+_+List&store=bks&srno=s_1_4&otracker=search&otracker1=search&fm=organic&iid=1e2cd5de-7773-4b0d-a8ad-75b49157970d.9781034271499.SEARCH&ppt=None&ppn=None&ssid=fj94t169y80000001654450598444&qH=1ac6b4484a753a9f
Shopping List 2,₹713,N/A,0,http://www.flipkart.com/shopping-list-2/p/itm7b222b7428928?pid=9781948318013&lid=LSTBOK9781948318013V6XGMA&marketplace=FLIPKART&q=Shopping+_+List&store=bks&srno=s_1_5&otracker=search&otracker1=search&fm=organic&iid=1e2cd5de-7773-4b0d-a8ad-75b49157970d.9781948318013.SEARCH&ppt=None&ppn=None&ssid=fj94t169y80000001654450598444&qH=1ac6b4484a753a9f
Grocery Shopping List,₹810,N/A,0,http://www.flipkart.com/grocery-shopping-list/p/itmfc5afxcz3p8sv?pid=9781724032416&lid=LSTBOK9781724032416VLMYZP&marketplace=FLIPKART&q=Shopping+_+List&store=bks&srno=s_1_6&otracker=search&otracker1=search&fm=organic&iid=1e2cd5de-7773-4b0d-a8ad-75b49157970d.9781724032416.SEARCH&ppt=None&ppn=None&ssid=fj94t169y80000001654450598444&qH=1ac6b4484a753a9f
Love Shopping List,"₹1,233",N/A,0,http://www.flipkart.com/love-shopping-list/p/itm15fa3aa3e74cc?pid=9780991536214&lid=LSTBOK9780991536214WNTYWM&marketplace=FLIPKART&q=Shopping+_+List&store=bks&srno=s_1_7&otracker=search&otracker1=search&fm=organic&iid=1e2cd5de-7773-4b0d-a8ad-75b49157970d.9780991536214.SEARCH&ppt=None&ppn=None&ssid=fj94t169y80000001654450598444&qH=1ac6b4484a753a9f
A Shopping List for Murder - Part II,"₹2,011",N/A,0,http://www.flipkart.com/shopping-list-murder-part-ii/p/itmdz7dgzqz9b6vq?pid=9781490719801&lid=LSTBOK97814907198015VP9P6&marketplace=FLIPKART&q=Shopping+_+List&store=bks&srno=s_1_8&otracker=search&otracker1=search&fm=organic&iid=1e2cd5de-7773-4b0d-a8ad-75b49157970d.9781490719801.SEARCH&ppt=None&ppn=None&ssid=fj94t169y80000001654450598444&qH=1ac6b4484a753a9f
A Shopping List for Murder - Part II,"₹3,020",N/A,0,http://www.flipkart.com/shopping-list-murder-part-ii/p/itmdz7dgzqz9b6vq?pid=9781490719825&lid=LSTBOK9781490719825OPWO6H&marketplace=FLIPKART&q=Shopping+_+List&store=bks&srno=s_1_9&otracker=search&otracker1=search&fm=organic&iid=1e2cd5de-7773-4b0d-a8ad-75b49157970d.9781490719825.SEARCH&ppt=None&ppn=None&ssid=fj94t169y80000001654450598444&qH=1ac6b4484a753a9f
Pizza Mouse and The Shopping List,₹363,N/A,0,http://www.flipkart.com/pizza-mouse-shopping-list/p/itm8bd896bafd1ff?pid=9781839270079&lid=LSTBOK9781839270079ETLLNM&marketplace=FLIPKART&q=Shopping+_+List&store=bks&srno=s_1_10&otracker=search&otracker1=search&fm=organic&iid=1e2cd5de-7773-4b0d-a8ad-75b49157970d.9781839270079.SEARCH&ppt=None&ppn=None&ssid=fj94t169y80000001654450598444&qH=1ac6b4484a753a9f
Oxford Reading Tree Songbirds Phonics: Level 3: The Sho...,₹428,N/A,0,http://www.flipkart.com/oxford-reading-tree-songbirds-phonics-level-3-shopping-list/p/itm098784a0633a7?pid=9780198388296&lid=LSTBOK9780198388296OPNAYC&marketplace=FLIPKART&q=Shopping+_+List&store=bks&srno=s_1_11&otracker=search&otracker1=search&fm=organic&iid=1e2cd5de-7773-4b0d-a8ad-75b49157970d.9780198388296.SEARCH&ppt=None&ppn=None&ssid=fj94t169y80000001654450598444&qH=1ac6b4484a753a9f
Springboard Connect 7b The Shopping List,₹765,N/A,0,http://www.flipkart.com/springboard-connect-7b-shopping-list/p/itm30934a9d5d891?pid=9781458639905&lid=LSTBOK97814586399055MXXQR&marketplace=FLIPKART&q=Shopping+_+List&store=bks&srno=s_1_12&otracker=search&otracker1=search&fm=organic&iid=1e2cd5de-7773-4b0d-a8ad-75b49157970d.9781458639905.SEARCH&ppt=None&ppn=None&ssid=fj94t169y80000001654450598444&qH=1ac6b4484a753a9f
The Healthiest Shopping List (2nd Edition),"₹1,460",N/A,0,http://www.flipkart.com/healthiest-shopping-list-2nd-edition/p/itm47ca7925040fb?pid=9781925997873&lid=LSTBOK9781925997873MSGAVZ&marketplace=FLIPKART&q=Shopping+_+List&store=bks&srno=s_1_13&otracker=search&otracker1=search&fm=organic&iid=1e2cd5de-7773-4b0d-a8ad-75b49157970d.9781925997873.SEARCH&ppt=None&ppn=None&ssid=fj94t169y80000001654450598444&qH=1ac6b4484a753a9f
Shopping List 3,₹599,N/A,0,http://www.flipkart.com/shopping-list-3/p/itme01651b6b3436?pid=9781948318570&lid=LSTBOK9781948318570ZAVYUC&marketplace=FLIPKART&q=Shopping+_+List&store=bks&srno=s_1_14&otracker=search&otracker1=search&fm=organic&iid=1e2cd5de-7773-4b0d-a8ad-75b49157970d.9781948318570.SEARCH&ppt=None&ppn=None&ssid=fj94t169y80000001654450598444&qH=1ac6b4484a753a9f
Green Reset! 6-Week Green Smoothie and Juicing Challeng...,₹771,N/A,0,http://www.flipkart.com/green-reset-6-week-smoothie-juicing-challenge-with-recipes-shopping-lists-tips-detox-advice-more/p/itmb790a8bb876c5?pid=9798631978515&lid=LSTBOK9798631978515RTN1L0&marketplace=FLIPKART&q=Shopping+_+List&store=bks&srno=s_1_15&otracker=search&otracker1=search&fm=organic&iid=1e2cd5de-7773-4b0d-a8ad-75b49157970d.9798631978515.SEARCH&ppt=None&ppn=None&ssid=fj94t169y80000001654450598444&qH=1ac6b4484a753a9f
"Clark'S Boston Blue Book The Elite Private Address, Car...","₹1,172",N/A,0,http://www.flipkart.com/clark-s-boston-blue-book-elite-private-address-carriage-club-directory-ladies-visiting-list-shopping-guide/p/itm177ba64d9f6ce?pid=9789354306921&lid=LSTBOK9789354306921EBKODU&marketplace=FLIPKART&q=Shopping+_+List&store=bks&srno=s_1_16&otracker=search&otracker1=search&fm=organic&iid=1e2cd5de-7773-4b0d-a8ad-75b49157970d.9789354306921.SEARCH&ppt=None&ppn=None&ssid=fj94t169y80000001654450598444&qH=1ac6b4484a753a9f
"List of Patterns of Gears, Pulleys, Etc., Belonging to ...","₹1,590",N/A,0,http://www.flipkart.com/list-patterns-gears-pulleys-etc-belonging-lawrence-machine-shop/p/itmdfgh9gtdxkf4y?pid=9781273747298&lid=LSTBOK97812737472988PHC0P&marketplace=FLIPKART&q=Shopping+_+List&store=bks&srno=s_1_17&otracker=search&otracker1=search&fm=organic&iid=1e2cd5de-7773-4b0d-a8ad-75b49157970d.9781273747298.SEARCH&ppt=None&ppn=None&ssid=fj94t169y80000001654450598444&qH=1ac6b4484a753a9f
