Description,Price,Rating,ReviewCount,Url,Image src,Website_Name
"Nature's First 100% Alphonso Mango Pulp with No Added Sugar No Preservatives, 1.5 kg",₹475,3.0 out of 5 stars,135,http://www.amazon.in/gp/slredirect/picassoRedirect.html/ref=pa_sp_atf_aps_sr_pg1_1?ie=UTF8&adId=A03875033JZTNB6EGZKE7&url=%2FNatures-First-Alphonso-Mango-Preservatives%2Fdp%2FB08HVSPM74%2Fref%3Dsr_1_1_sspa%3Fkeywords%3Dmango%26qid%3D1655407552%26sr%3D8-1-spons%26psc%3D1&qualifier=1655407552&id=5306059656517862&widgetName=sp_atf,https://m.media-amazon.com/images/I/41sPav3147L._AC_UY218_.jpg,Amazon
"Spice Story Mango Mustard Chutney. Homemade Bengali Aam Kasundi 200G - Mustard Chutney, Sauce, Dip, Spread, Marinade, Shelf-stable, Gluten free, Non Dairy, Vegan, Authentic Indian Spice Blend , Crafted in Small Batches",₹134,3.7 out of 5 stars,58,http://www.amazon.in/gp/slredirect/picassoRedirect.html/ref=pa_sp_atf_aps_sr_pg1_1?ie=UTF8&adId=A09192002R9VKEQE0IXKK&url=%2FSpice-Story-Mustard-Chutney-Traditional%2Fdp%2FB08C5DK14X%2Fref%3Dsr_1_2_sspa%3Fkeywords%3Dmango%26qid%3D1655407552%26sr%3D8-2-spons%26psc%3D1&qualifier=1655407552&id=5306059656517862&widgetName=sp_atf,https://m.media-amazon.com/images/I/81J6qKklCFL._AC_UY218_.jpg,Amazon
"Fresh mango, Safeda/Banganapalli,1 KG",₹77,,,http://www.amazon.in/Fresh-Mango-Banganapalli-2-Pieces/dp/B07B8SQ3SG/ref=sr_1_3_f3_0o_fs?almBrandId=ctnow&fpw=alm&keywords=mango&qid=1655407552&sr=8-3,https://m.media-amazon.com/images/I/41g30K50tCL._AC_UY218_.jpg,Amazon
"Fresh Mango, Sindhura (Lalbagh), 1 kg",₹84,,,http://www.amazon.in/Fresh-Mango-Sindhura-Lalbagh-gram/dp/B07MLWS41N/ref=sr_1_4_f3_0o_fs?almBrandId=ctnow&fpw=alm&keywords=mango&qid=1655407552&sr=8-4,https://m.media-amazon.com/images/I/51h-aJ7RN8L._AC_UY218_.jpg,Amazon
"Fresh Mango, Badami, 1 kg",₹285,,,http://www.amazon.in/Fresh-Mango-Badami-1-kg/dp/B0924WBHPC/ref=sr_1_5_f3_0o_fs?almBrandId=ctnow&fpw=alm&keywords=mango&qid=1655407552&sr=8-5,https://m.media-amazon.com/images/I/51x7CRMRoML._AC_UY218_.jpg,Amazon
"Tang Mango Instant Drink Mix, 500 g",₹135,4.3 out of 5 stars,678,http://www.amazon.in/Tang-Mango-Instant-Drink-500g/dp/B078PLLM9D/ref=sr_1_6?keywords=mango&qid=1655407552&sr=8-6,https://m.media-amazon.com/images/I/61ja7pmDAhL._AC_UY218_.jpg,Amazon
Real Fruit Power Mango - 1L,₹100,4.3 out of 5 stars,"10,949",http://www.amazon.in/Real-Fruit-Power-Mango-1L/dp/B00B9A0Z4Q/ref=sr_1_7?keywords=mango&qid=1655407552&sr=8-7,https://m.media-amazon.com/images/I/71+6JAArZVL._AC_UY218_.jpg,Amazon
Dhanshe's Farm Ratnagiri Alphonso Mango Export Quality Size A(1 DOZEN) 235-255gram Naturally ripe and Carbide free,₹999,3.0 out of 5 stars,9,http://www.amazon.in/Dhanshes-Ratnagiri-Alphonso-235-255gram-Naturally/dp/B0B1QQ2DXB/ref=sr_1_8?keywords=mango&qid=1655407552&sr=8-8,https://m.media-amazon.com/images/I/319jVF8LQyS._AC_UY218_.jpg,Amazon
"Amazon Brand - Vedaka Raw Mango Pickle, 500g",₹150,3.5 out of 5 stars,169,http://www.amazon.in/Amazon-Brand-Vedaka-Mango-Pickle/dp/B093L7VPQL/ref=sr_1_9?keywords=mango&qid=1655407552&sr=8-9,https://m.media-amazon.com/images/I/718VqFIHNcL._AC_UY218_.jpg,Amazon
"Happilo Premium International Dried Mango 200g | Plant Based Protein | Sweet taste of Real Mangoes anytime | 100% Natural & No Artificial Colors, Gluten Free, No Preservatives",₹172,4.0 out of 5 stars,"2,227",http://www.amazon.in/Happilo-Premium-International-Dried-Mango/dp/B07Q6FV8WD/ref=sr_1_10?keywords=mango&qid=1655407552&sr=8-10,https://m.media-amazon.com/images/I/71rkr2DXH4L._AC_UY218_.jpg,Amazon
